"","x"
"1","ENSG00000196611"
"2","ENSG00000093009"
"3","ENSG00000109255"
"4","ENSG00000134690"
"5","ENSG00000065328"
"6","ENSG00000117399"
"7","ENSG00000163220"
"8","ENSG00000111206"
"9","ENSG00000137807"
"10","ENSG00000138778"
"11","ENSG00000186832"
"12","ENSG00000101057"
"13","ENSG00000165304"
"14","ENSG00000157456"
"15","ENSG00000143546"
"16","ENSG00000080986"
"17","ENSG00000019169"
"18","ENSG00000140379"
"19","ENSG00000131747"
"20","ENSG00000121152"
"21","ENSG00000143556"
"22","ENSG00000129173"
"23","ENSG00000066279"
"24","ENSG00000166426"
"25","ENSG00000169245"
"26","ENSG00000078081"
"27","ENSG00000171848"
"28","ENSG00000138180"
"29","ENSG00000126787"
"30","ENSG00000174607"
"31","ENSG00000175063"
"32","ENSG00000123485"
"33","ENSG00000179750"
"34","ENSG00000154839"
"35","ENSG00000168078"
"36","ENSG00000137804"
"37","ENSG00000172183"
"38","ENSG00000111665"
"39","ENSG00000088325"
"40","ENSG00000013810"
"41","ENSG00000156234"
"42","ENSG00000117650"
"43","ENSG00000169248"
"44","ENSG00000103257"
"45","ENSG00000100162"
"46","ENSG00000164047"
"47","ENSG00000111247"
"48","ENSG00000158050"
"49","ENSG00000138755"
"50","ENSG00000134028"
"51","ENSG00000166451"
"52","ENSG00000108106"
"53","ENSG00000145386"
"54","ENSG00000134824"
"55","ENSG00000170312"
"56","ENSG00000186871"
"57","ENSG00000102854"
"58","ENSG00000164109"
"59","ENSG00000275385"
"60","ENSG00000101003"
"61","ENSG00000007372"
"62","ENSG00000115590"
"63","ENSG00000121621"
"64","ENSG00000118849"
"65","ENSG00000167513"
"66","ENSG00000089685"
"67","ENSG00000163362"
"68","ENSG00000177614"
"69","ENSG00000138160"
"70","ENSG00000163993"
"71","ENSG00000152256"
"72","ENSG00000106462"
"73","ENSG00000100453"
"74","ENSG00000163519"
"75","ENSG00000112742"
"76","ENSG00000094755"
"77","ENSG00000109805"
"78","ENSG00000178372"
"79","ENSG00000103569"
"80","ENSG00000183150"
"81","ENSG00000178999"
"82","ENSG00000154645"
"83","ENSG00000131153"
"84","ENSG00000101746"
"85","ENSG00000171119"
"86","ENSG00000159259"
"87","ENSG00000149554"
"88","ENSG00000071539"
"89","ENSG00000198901"
"90","ENSG00000237649"
"91","ENSG00000186185"
"92","ENSG00000103485"
"93","ENSG00000262406"
"94","ENSG00000160326"
"95","ENSG00000112984"
"96","ENSG00000089692"
"97","ENSG00000131203"
"98","ENSG00000205426"
"99","ENSG00000143476"
"100","ENSG00000087586"
"101","ENSG00000106268"
"102","ENSG00000134057"
"103","ENSG00000127252"
"104","ENSG00000087842"
"105","ENSG00000171209"
"106","ENSG00000090889"
"107","ENSG00000108700"
"108","ENSG00000115523"
"109","ENSG00000100297"
"110","ENSG00000164611"
"111","ENSG00000127603"
"112","ENSG00000084636"
"113","ENSG00000157388"
"114","ENSG00000069535"
"115","ENSG00000181092"
"116","ENSG00000165633"
"117","ENSG00000170011"
"118","ENSG00000275395"
"119","ENSG00000276644"
"120","ENSG00000088543"
"121","ENSG00000150995"
"122","ENSG00000102935"
"123","ENSG00000131831"
"124","ENSG00000103528"
"125","ENSG00000168679"
"126","ENSG00000145244"
"127","ENSG00000143412"
"128","ENSG00000124249"
"129","ENSG00000271447"
"130","ENSG00000103599"
"131","ENSG00000133392"
"132","ENSG00000256612"
"133","ENSG00000255423"
"134","ENSG00000154027"
"135","ENSG00000258818"
"136","ENSG00000074410"
"137","ENSG00000164125"
"138","ENSG00000152049"
"139","ENSG00000196735"
"140","ENSG00000120262"
"141","ENSG00000109436"
"142","ENSG00000196616"
"143","ENSG00000127083"
"144","ENSG00000139910"
"145","ENSG00000105664"
"146","ENSG00000124253"
"147","ENSG00000174827"
"148","ENSG00000112936"
"149","ENSG00000170370"
"150","ENSG00000116667"
"151","ENSG00000213088"
"152","ENSG00000065618"
"153","ENSG00000110484"
"154","ENSG00000156011"
"155","ENSG00000170323"
"156","ENSG00000164035"
"157","ENSG00000130005"
"158","ENSG00000125378"
"159","ENSG00000204385"
"160","ENSG00000081479"
"161","ENSG00000146938"
"162","ENSG00000119938"
"163","ENSG00000108176"
"164","ENSG00000173210"
"165","ENSG00000186868"
"166","ENSG00000138615"
"167","ENSG00000064205"
"168","ENSG00000178568"
"169","ENSG00000124479"
"170","ENSG00000132031"
"171","ENSG00000115648"
"172","ENSG00000136457"
"173","ENSG00000134240"
"174","ENSG00000129514"
"175","ENSG00000166819"
"176","ENSG00000121671"
"177","ENSG00000145824"
"178","ENSG00000134443"
"179","ENSG00000186526"
"180","ENSG00000197253"
"181","ENSG00000106819"
"182","ENSG00000168329"
"183","ENSG00000128606"
"184","ENSG00000142973"
"185","ENSG00000124935"
"186","ENSG00000162722"
"187","ENSG00000125869"
"188","ENSG00000141338"
"189","ENSG00000131781"
"190","ENSG00000159763"
"191","ENSG00000105792"
"192","ENSG00000113739"
"193","ENSG00000107485"
"194","ENSG00000008196"
"195","ENSG00000163879"
"196","ENSG00000127954"
"197","ENSG00000196090"
"198","ENSG00000152953"
"199","ENSG00000171428"
"200","ENSG00000166482"
"201","ENSG00000082175"
"202","ENSG00000106541"
"203","ENSG00000148671"
"204","ENSG00000103534"
"205","ENSG00000071967"
"206","ENSG00000175356"
"207","ENSG00000106809"
